,Feature,Target,Best_Transform,Max_Abs_Corr,Gain
57,raz_avg,NO_target_30,rolling_14,0.084496,0.015889
111,T_ST,CO_target_30,rolling_30,0.079959,0.030282
20,P_avg,SO2_target_15,ewm_100,0.073305,0.072838
21,P_avg,SO2_target_30,ewm_100,0.072338,0.07121
39,kal_avg,CO_target_30,ewm_100,0.063498,0.029852
66,raz_avg2,NO2_target_15,rolling_30,0.061342,0.035041
59,raz_avg,NO2_target_30,rolling_100,0.061187,0.01799
58,raz_avg,NO2_target_15,rolling_100,0.060961,0.017148
90,V_ST,NO2_target_15,ewm_5,0.060377,0.00322
38,kal_avg,CO_target_15,ewm_100,0.059784,0.023084
67,raz_avg2,NO2_target_30,rolling_60,0.058245,0.033636
64,raz_avg2,NO_target_15,ewm_14,0.05792,0.030294
87,t_avg_b_y,CO_target_30,ewm_60,0.052582,0.021523
78,t_avg_b_x,CO_target_15,Original,0.05165,0.0
65,raz_avg2,NO_target_30,ewm_30,0.049209,0.026011
79,t_avg_b_x,CO_target_30,rolling_30,0.04565,0.038705
86,t_avg_b_y,CO_target_15,ewm_100,0.03923,0.021335
91,V_ST,NO2_target_30,ewm_100,0.034814,0.003143
29,P_avg2,SO2_target_30,ewm_100,0.029897,0.027042
28,P_avg2,SO2_target_15,ewm_100,0.022358,0.018909
98,P_ST,NO2_target_15,ewm_5,0.012464,0.001495
72,t_avg_b_x,NO_target_15,ewm_60,0.010445,0.009976
99,P_ST,NO2_target_30,rolling_60,0.008597,0.001771
73,t_avg_b_x,NO_target_30,ewm_100,0.008083,0.00447
